V47_20141104053908366559.fits 496.868 479.99
V47_20141104053447283200.fits 493.539 474.087
V47_20141104053447566690.fits 495.441 475.596
V47_20141104053905815248.fits 494.721 475.307
V47_20141104053445865808.fits 497.668 478.103
V47_20141104053903263941.fits 497.72 478.917
V47_20141104053856743942.fits 494.81 476.314
V47_20141104053858728292.fits 497.154 478.949
V47_20141104053900145683.fits 494.996 479.109
V47_20141104053900429162.fits 497.185 479.844
V47_20141104053442180601.fits 492.759 474.374
V47_20141104053850507426.fits 496.867 478.239
V47_20141104053850790903.fits 498.607 481.569
V47_20141104053438495387.fits 494.772 475.422
V47_20141104053848523080.fits 499.685 480.333
V47_20141104053437077989.fits 492.95 474.295
V47_20141104053436794509.fits 494.908 475.955
V47_20141104053846255254.fits 498.348 478.72
V47_20141104053847105687.fits 496.002 476.853
V47_20141104053434526686.fits 495.544 475.522
V47_20141104053845404824.fits 495.047 475.674
V47_20141104053023081599.fits 493.27 479.306
V47_20141104053023648552.fits 494.775 481.972
V47_20141104053841719604.fits 497.668 481.642
V47_20141104053842570039.fits 493.398 474.97
V47_20141104053025065946.fits 496.808 481.348
V47_20141104053431124951.fits 494.338 476.107
V47_20141104053838034394.fits 494.522 477.211
V47_20141104053027333774.fits 496.969 484.62
V47_20141104053427723224.fits 494.649 475.704
V47_20141104053836616997.fits 498.004 479.857
V47_20141104053424321472.fits 494.374 474.405
V47_20141104053425738864.fits 491.826 472.845
V47_20141104053832081354.fits 497.396 481.121
V47_20141104053832931781.fits 494.197 478.161
V47_20141104053422620604.fits 493.343 474.215
V47_20141104053421770169.fits 491.589 473.282
V47_20141104053418935395.fits 491.344 470.994
V47_20141104053816490054.fits 494.914 477.415
V47_20141104053816773530.fits 496.77 478.141
V47_20141104053036688550.fits 493.633 478.423
V47_20141104053416384087.fits 494.237 474.678
V47_20141104053416667570.fits 491.663 472.471
V47_20141104053417801482.fits 491.742 471.502
V47_20141104053038105936.fits 496.236 480.51
V47_20141104053815639625.fits 496.938 478.1
V47_20141104053816206578.fits 497.085 478.17
V47_20141104053038956370.fits 495.799 479.859
V47_20141104053812804840.fits 499.898 481.655
V47_20141104053414399738.fits 491.795 471.932
