V47_20141104053006072910.fits 470 423
V47_20141104053006356387.fits 472 425
V47_20141104053006639865.fits 470 423
V47_20141104053006923346.fits 473 425
V47_20141104053007206822.fits 470 423
V47_20141104053007490300.fits 473 426
V47_20141104053007773776.fits 471 424
V47_20141104053008057255.fits 473 426
V47_20141104053008340735.fits 471 424
V47_20141104053008624212.fits 473 426
V47_20141104053008907692.fits 470 424
V47_20141104053009191165.fits 473 425
V47_20141104053009474647.fits 471 424
V47_20141104053009758123.fits 473 426
V47_20141104053010041606.fits 470 424
V47_20141104053010325083.fits 473 426
V47_20141104053010608567.fits 470 424
V47_20141104053010892046.fits 473 426
V47_20141104053011175550.fits 470 424
V47_20141104053011458992.fits 473 425
V47_20141104053011742477.fits 471 424
V47_20141104053012025954.fits 473 426
V47_20141104053012309428.fits 471 424
V47_20141104053012592906.fits 473 426
V47_20141104053012876383.fits 471 424
V47_20141104053013159870.fits 473 426
V47_20141104053013443347.fits 471 424
V47_20141104053013726817.fits 473 426
V47_20141104053014010297.fits 471 424
V47_20141104053014293775.fits 473 426
V47_20141104053014577255.fits 471 424
V47_20141104053014860734.fits 473 426
V47_20141104053015144216.fits 470 424
V47_20141104053015427684.fits 473 426
V47_20141104053015711164.fits 471 424
V47_20141104053015994646.fits 473 426
V47_20141104053016278121.fits 471 424
V47_20141104053016561599.fits 473 426
V47_20141104053016845079.fits 471 424
V47_20141104053017128558.fits 473 426
V47_20141104053017412039.fits 471 424
V47_20141104053017695512.fits 473 426
V47_20141104053017978989.fits 471 424
V47_20141104053018262471.fits 473 426
V47_20141104053018545947.fits 471 424
V47_20141104053018829423.fits 473 426
V47_20141104053019112906.fits 471 424
V47_20141104053019396382.fits 473 426
V47_20141104053019679860.fits 471 424
V47_20141104053019963347.fits 473 426
V47_20141104053525269274.fits 473 426
V47_20141104053525552743.fits 475 428
V47_20141104053525836226.fits 473 426
V47_20141104053526119703.fits 476 428
V47_20141104053526403200.fits 473 426
V47_20141104053526686661.fits 476 428
V47_20141104053526970148.fits 473 426
V47_20141104053527253613.fits 475 428
V47_20141104053527537095.fits 473 426
V47_20141104053527820573.fits 475 428
V47_20141104054033126507.fits 473 426
V47_20141104054033409983.fits 475 428
V47_20141104054033693465.fits 473 426
V47_20141104054033976950.fits 475 428
V47_20141104054034260416.fits 473 426
V47_20141104054034543896.fits 475 428
V47_20141104054034827374.fits 473 426
V47_20141104054035110854.fits 475 428
V47_20141104054035394334.fits 473 426
V47_20141104054035677809.fits 475 428
V47_20141104054541267298.fits 475 428
V47_20141104054541550778.fits 473 425
V47_20141104054541834246.fits 475 428
V47_20141104054542117724.fits 473 426
V47_20141104054542401204.fits 475 428
V47_20141104054542684691.fits 473 425
V47_20141104054542968159.fits 475 428
V47_20141104054543251638.fits 473 426
V47_20141104054543535115.fits 475 428
V47_20141104054543818595.fits 473 426
V47_20141104055037235057.fits 473 426
V47_20141104055037518533.fits 470 424
V47_20141104055037802020.fits 473 426
V47_20141104055038085488.fits 471 425
V47_20141104055038368966.fits 473 427
V47_20141104055038652446.fits 470 425
V47_20141104055038935925.fits 473 427
V47_20141104055039219406.fits 471 425
