V47_20141104054349293407.fits 477 431
V47_20141104054350994277.fits 477 431
V47_20141104054352695154.fits 477 431
V47_20141104054354396013.fits 477 431
V47_20141104053704486609.fits 476 430
V47_20141104053705053564.fits 476 430
V47_20141104054338237761.fits 479 432
V47_20141104054338521234.fits 476 430
V47_20141104054339655147.fits 477 431
V47_20141104054345041235.fits 479 433
V47_20141104054345608187.fits 479 433
V47_20141104054349009932.fits 479 433
V47_20141104053337547583.fits 475 429
V47_20141104054330300367.fits 479 432
V47_20141104054331150807.fits 476 430
V47_20141104054334836019.fits 479 432
V47_20141104053337264111.fits 478 431
V47_20141104053118076354.fits 475 429
V47_20141104053657683137.fits 477 431
V47_20141104053118643308.fits 475 429
V47_20141104053118926789.fits 478 431
V47_20141104054329733408.fits 479 432
V47_20141104054330016893.fits 476 430
V47_20141104053334996283.fits 478 432
V47_20141104054329449932.fits 476 430
V47_20141104053332161519.fits 478 431
V47_20141104054328316023.fits 476 430
V47_20141104053654848362.fits 477 432
V47_20141104053655131835.fits 479 433
V47_20141104053334429324.fits 478 431
V47_20141104054322929941.fits 479 432
V47_20141104054326048201.fits 476 430
V47_20141104053331027587.fits 478 431
V47_20141104053331594552.fits 478 431
V47_20141104053653997924.fits 479 433
V47_20141104053654281397.fits 477 431
V47_20141104053123462436.fits 478 431
V47_20141104053650312703.fits 476 430
V47_20141104054320945592.fits 476 430
V47_20141104053328476284.fits 475 429
V47_20141104054318110805.fits 476 430
V47_20141104053327909331.fits 476 430
V47_20141104054315843002.fits 476 430
V47_20141104053325924982.fits 478 431
V47_20141104054302802989.fits 477 431
V47_20141104054305070814.fits 477 431
V47_20141104054305354286.fits 479 433
V47_20141104054305637768.fits 476 430
V47_20141104054311307337.fits 476 430
V47_20141104054314709069.fits 477 431
V47_20141104053321956292.fits 478 431
V47_20141104053322806724.fits 475 429
V47_20141104054259117768.fits 479 432
V47_20141104053642658798.fits 479 432
V47_20141104054257416908.fits 479 433
V47_20141104053128848520.fits 475 429
V47_20141104054255716031.fits 479 432
V47_20141104053129415472.fits 475 429
V47_20141104054255149076.fits 479 432
V47_20141104053641524889.fits 478 431
V47_20141104053130265908.fits 478 431
V47_20141104054250896902.fits 477 431
V47_20141104054254298637.fits 476 430
V47_20141104053131116348.fits 475 429
V47_20141104053638406628.fits 475 429
V47_20141104054248062118.fits 476 430
V47_20141104053317987593.fits 478 431
V47_20141104054246361255.fits 476 430
V47_20141104053132533734.fits 477 431
V47_20141104053315436291.fits 475 429
V47_20141104053636989233.fits 478 431
V47_20141104053637556188.fits 478 431
V47_20141104054237006476.fits 479 432
V47_20141104053133951124.fits 475 429
V47_20141104054226801254.fits 479 433
V47_20141104054228502126.fits 479 433
V47_20141104054234455178.fits 477 431
V47_20141104054234738647.fits 479 433
V47_20141104053135368528.fits 478 431
V47_20141104054226517782.fits 477 430
V47_20141104053135935474.fits 478 431
V47_20141104053628768367.fits 476 429
V47_20141104054225950819.fits 477 431
V47_20141104053629618803.fits 478 431
V47_20141104054217446473.fits 477 431
V47_20141104054219714300.fits 477 431
V47_20141104054221982125.fits 477 431
V47_20141104054223116045.fits 477 430
V47_20141104054215462126.fits 479 433
V47_20141104053310617162.fits 478 431
V47_20141104053138770251.fits 477 431
V47_20141104054207524742.fits 479 433
V47_20141104054207808220.fits 477 430
V47_20141104054208091707.fits 479 432
V47_20141104054211776911.fits 477 431
V47_20141104054214895181.fits 479 433
V47_20141104053308916301.fits 480 429
V47_20141104053620264038.fits 476 430
V47_20141104054156185610.fits 479 432
V47_20141104054204122998.fits 479 432
V47_20141104053617712728.fits 479 432
V47_20141104053619130112.fits 476 430
V47_20141104053142171989.fits 477 431
V47_20141104054151933438.fits 476 430
V47_20141104053142738946.fits 477 431
V47_20141104054147114308.fits 479 432
V47_20141104054151649974.fits 479 432
V47_20141104053143589384.fits 475 429
